FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
-------------------------------------------------------------------------------------------------------------------------------------------------
David Raya Martín           Arsenal                  GK    £6.0m    6      0       24      0       0        0        0        0     0     90      37.9%    
Illan Meslier               Arsenal                  GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kepa Arrizabalaga Revuelta  Arsenal                  GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Benjamin White              Arsenal                  DEF   £5.5m    11     2       37      5       0.18     0.21     0.39     0     1     90      5.2%     
Cristhian Mosquera          Arsenal                  DEF   £5.5m    6      0       27      6       0        0        0        0     0     90      6.1%     
Ezri Konsa Ngoyo            Arsenal                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       12.2%    
Gabriel dos Santos MagalhãesArsenal                  DEF   £8.0m    5      0       21      4       0.05     0.01     0.06     0     0     90      29.5%    
Jurriën Timber              Arsenal                  DEF   £6.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Piero Hincapié              Arsenal                  DEF   £5.5m    1      0       3       0       0        0        0        0     0     9       1.7%     
Riccardo Calafiori          Arsenal                  DEF   £5.5m    9      0       31      5       0.04     0.09     0.13     0     1     80      40.5%    
William Saliba              Arsenal                  DEF   £6.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Bruno Guimarães Rodriguez MouraArsenal                  MID   £7.0m    0      0       0       0       0        0        0        0     0     0       3.6%     
Bukayo Saka                 Arsenal                  MID   £9.5m    9      1       36      7       0.64     0.08     0.72     1     0     67      10.0%    
Christos Tzolis             Arsenal                  MID   £6.5m    6      0       30      6       0.19     0.14     0.33     0     1     75      25.5%    
Declan Rice                 Arsenal                  MID   £7.5m    3      0       10      6       0.07     0.08     0.15     0     0     67      17.9%    
Eberechi Eze                Arsenal                  MID   £6.5m    1      0       4       2       0.04     0        0.04     0     0     14      2.0%     
Ethan Nwaneri               Arsenal                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Fábio Ferreira Vieira       Arsenal                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Gabriel Martinelli Silva    Arsenal                  MID   £6.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Martin Ødegaard             Arsenal                  MID   £6.5m    11     3       41      8       0.21     0.10     0.31     1     0     75      9.8%     
Martín Zubimendi Ibáñez     Arsenal                  MID   £5.5m    1      0       3       3       0        0.02     0.02     0     0     22      1.1%     
