ASTON VILLA
=================================================================================================================================================
Updated: 2026-09-05 18:44:14
Gameweek: GW3
Players: 35

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Marco Bizot                 GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0.3     1       
Zion Suzuki                 GK    £5.0m    10     3       37      0       0        0        0        0     0     90      1.2%     4       6       
Matty Cash                  DEF   £4.5m    6      0       23      1       0        0.03     0.03     0     0     84      7.0%     2.3     2.3     
Lucas Digne                 DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Andrés García               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       1.7%     0       0       
Taylor Harwood-Bellis       DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Victor Lindelöf             DEF   £4.5m    6      0       27      4       0        0.08     0.08     0     0     90      0.3%     2       2       
Ian Maatsen                 DEF   £4.5m    7      1       28      3       0        0.42     0.42     0     0     74      0.7%     2.7     2.7     
Tyrone Mings                DEF   £4.5m    7      1       28      5       0.13     0.02     0.15     0     0     90      0.4%     2.7     4       
Kosta Nedeljkovic           DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Triston Rowe                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Matteo Ruggeri              DEF   £4.5m    1      0       3       1       0        0.01     0.01     0     0     15      0.1%     0.7     1       
Pau Torres                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     0.7     1       
Aaron Wan-Bissaka           DEF   £4.5m    1      0       3       1       0        0        0        0     0     5       0.2%     1       1       
Leon Bailey                 MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Ross Barkley                MID   £5.0m    3      0       16      6       0.19     0.09     0.28     0     0     90      0.3%     2.3     2.3     
Lamare Bogarde              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0.3     1       
Emiliano Buendía Stati      MID   £6.0m    3      0       2       2       0.45     0.05     0.5      0     0     74      1.1%     2.3     2.3     
Bradley Burrowes            MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     0       0       
Alejandro Garnacho Ferreyra MID   £5.9m    1      0       4       0       0        0        0        0     0     15      0.4%     1       1       
Joao Gomes                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     -0.7    -2      
Leon Goretzka               MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
George Hemmings             MID   £4.5m    3      0       8       7       0.12     0.14     0.26     0     0     74      1.0%     2.3     2.3     
Samuel Iling-Junior         MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Boubacar Kamara             MID   £5.0m    3      0       20      10      0        0.07     0.07     0     0     90      0.3%     2.3     2.3     
Luka Lynch                  MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Johan Manzambi              MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Ibrahim Mbaye               MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
John McGinn                 MID   £5.4m    3      0       6       5       0.62     0.02     0.64     0     0     90      2.4%     1.7     1.7     
Amadou Onana                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Alysson Edward Franco da Rocha dos SantosMID   £5.0m    1      0       3       1       0        0        0        0     0     15      0.0%     0.7     0.7     
Tammy Abraham               FWD   £5.5m    1      0       3       1       0        0        0        0     0     5       0.1%     0.7     1       
Nicolas Jackson             FWD   £6.5m    2      0       10      2       0.24     0.25     0.49     0     0     84      1.0%     1.3     2       
Brian Madjo                 FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.3%     0       0       
Ollie Watkins               FWD   £7.8m    0      0       0       0       0        0        0        0     0     0       3.9%     0       0       
