BRIGHTON
=================================================================================================================================================
Updated: 2026-09-12 18:31:52
Gameweek: GW4
Players: 36

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Jason Steele                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       4.3%     0       0       
Bart Verbruggen             GK    £4.5m    0      0       0       0       0        0        0        0     0     0       22.3%    2.2     3       
Olivier Boscagli            DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     1.8     2.3     
Diego Coppola               DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Maxim De Cuyper             DEF   £4.8m    0      0       0       0       0        0        0        0     0     0       22.1%    5.2     7       
Lewis Dunk                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       1.4%     2.5     3.3     
Jaouen Hadjam               DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Ferdi Kadıoğlu              DEF   £4.4m    0      0       0       0       0        0        0        0     0     0       1.7%     0.5     1       
João Pedro Loureiro da CostaDEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0.5     0.7     
Pascal Struijk              DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0.2     1       
Michael Svoboda             DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Luka Vušković               DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       3.2%     4.5     6       
Mats Wieffer                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.3%     1.8     3.5     
Igor Julio dos Santos de PauloDEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
José María Andrés Baixauli  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Yasin Ayari                 MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.4%     1       2       
Femi Azeez                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Facundo Buonanotte          MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Amario Cozier-Duberry       MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Pascal Groß                 MID   £5.6m    0      0       0       0       0        0        0        0     0     0       16.2%    4       5.3     
Diego Gómez Amarilla        MID   £5.0m    0      0       0       0       0        0        0        0     0     0       4.9%     3.2     4.3     
Jack Hinshelwood            MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.9%     4       16      
Harry Howell                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Mitoma Kaoru                MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Yankuba Minteh              MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Matt O'Riley                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Nehemiah Oriola             MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     0       0       
Ibrahim Osman               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0.5     1       
Tom Watson                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Malick Yalcouyé             MID   £4.5m    0      0       0       0       0        0        0        0     0     0       3.2%     2.8     3.7     
Zadok Yohanna               MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.2     1       
Promise David               FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0.2     0.5     
Evan Ferguson               FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Charalampos Kostoulas       FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.5%     2       2.7     
Georginio Rutter            FWD   £5.4m    0      0       0       0       0        0        0        0     0     0       0.6%     1.2     5       
Stefanos Tzimas             FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
