EVERTON
=================================================================================================================================================
Updated: 2026-08-29 12:23:01
Gameweek: GW2
Players: 24

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Tom King                    GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jordan Pickford             GK    £5.5m    0      0       0       0       0        0.02     0.02     0     0     0       8.9%     3.5     7       
Mark Travers                GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Adam Aznou                  DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Jarrad Branthwaite          DEF   £5.5m    0      0       0       0       0        0.01     0.01     0     0     0       1.8%     3       6       
Michael Keane               DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.4%     0       0       
Vitalii Mykolenko           DEF   £4.5m    0      0       0       0       0        0.05     0.05     0     0     0       1.7%     3       6       
Jake O'Brien                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.4%     0       0       
Nathan Patterson            DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
James Tarkowski             DEF   £6.0m    0      0       0       0       0.05     0        0.05     0     0     0       8.6%     3       6       
Carlos Alcaraz Durán        MID   £5.0m    0      0       0       0       0.02     0        0.02     0     0     0       0.1%     0.5     1       
Harrison Armstrong          MID   £5.0m    0      0       0       0       0        0.04     0.04     0     0     0       0.3%     4       8       
Kiernan Dewsbury-Hall       MID   £6.5m    0      0       0       0       0.12     0.17     0.29     0     0     0       4.7%     5.5     11      
Tyler Dibling               MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
James Garner                MID   £6.0m    0      0       0       0       0        0.03     0.03     0     0     0       0.1%     0.5     1       
Tyrique George              MID   £5.5m    0      0       0       0       0.18     0.08     0.26     0     0     0       0.3%     1.5     3       
Hayden Hackney              MID   £5.5m    0      0       0       0       0.01     0.01     0.02     0     0     0       0.2%     1.5     3       
Tim Iroegbunam              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Brennan Johnson             MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0.5     1       
Iliman Ndiaye               MID   £6.0m    0      0       0       0       0.24     0.32     0.56     0     0     0       15.9%    4.5     9       
Christian Nørgaard          MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Merlin Röhl                 MID   £5.0m    0      0       0       0       0        0.06     0.06     0     0     0       0.1%     1.5     3       
Thierno Barry               FWD   £5.5m    0      0       0       0       0.45     0.09     0.54     0     0     0       3.7%     4       8       
Norberto Bercique Gomes BetuncalFWD   £5.5m    0      0       0       0       0.05     0        0.05     0     0     0       2.3%     0.5     1       
