MANCHESTER UNITED
=================================================================================================================================================
Updated: 2026-09-20 14:23:17
Gameweek: GW5
Players: 36

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Alisson Becker              GK    £5.5m    8      2       27      0       0        0        0        0     0     63      3.9%     5.4     5.4     
Harvey Davies               GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Vitezslav Jaros             GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Giorgi Mamardashvili        GK    £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Armin Pecsi                 GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Freddie Woodman             GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.0%     0       0       
Ronald Araujo               DEF   £5.4m    6      0       23      2       0        0.01     0.01     0     0     63      2.9%     4.2     4.2     
Conor Bradley               DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jeremie Frimpong            DEF   £5.3m    0      0       0       0       0        0        0        0     0     0       1.8%     0.4     0.7     
Joe Gomez                   DEF   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jeremy Jacquet              DEF   £5.0m    6      0       25      5       0        0.02     0.02     0     0     63      3.3%     4.8     4.8     
Milos Kerkez                DEF   £5.4m    6      0       20      3       0.07     0.01     0.08     0     0     63      2.3%     2.6     2.6     
Giovanni Leoni              DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Wellity Lucky               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Calvin Ramsay               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Kostas Tsimikas             DEF   £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0.4     1       
Virgil van Dijk             DEF   £6.5m    10     2       27      10      0        0.01     0.01     0     0     63      16.3%    5.4     5.4     
Stefan Bajčetić Maquieira   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Bradley Barcola             MID   £8.0m    3      0       8       3       0.05     0.02     0.07     0     0     63      1.9%     2.3     2.3     
Federico Chiesa             MID   £5.3m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Harvey Elliott              MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Cody Gakpo                  MID   £7.2m    3      0       9       4       0.18     0.21     0.39     0     0     63      12.7%    6.4     6.4     
Ryan Gravenberch            MID   £5.8m    0      0       0       0       0        0        0        0     0     0       1.1%     1.6     2       
Curtis Jones                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Lewis Koumas                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0.4     1       
Alexis Mac Allister         MID   £5.4m    3      0       16      7       0        0.05     0.05     0     0     63      1.3%     1.8     1.8     
James McConnell             MID   £4.4m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Victor Munoz                MID   £6.5m    0      0       0       0       0        0        0        0     0     0       1.0%     2.8     3.5     
Rio Ngumoha                 MID   £5.7m    0      0       0       0       0        0        0        0     0     0       0.5%     0.8     1.3     
Trey Nyoni                  MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.4     1       
Dominik Szoboszlai          MID   £7.0m    2      0       5       4       0.13     0.02     0.15     0     0     63      34.1%    4       4       
Endo Wataru                 MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Florian Wirtz               MID   £7.3m    6      0       23      7       0.22     0.04     0.26     0     1     63      6.0%     3.6     3.6     
Jayden Danns                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Hugo Ekitiké                FWD   £7.4m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Alexander Isak              FWD   £9.1m    8      3       31      1       0.6      0.02     0.62     1     0     63      21.9%    6.6     6.6     
