TOTTENHAM HOTSPUR
=================================================================================================================================================
Updated: 2026-09-12 14:50:04
Gameweek: GW4
Players: 30

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Steven Benda                GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
John Victor Maciel Furtado  GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Matz Sels                   GK    £5.0m    5      3       16      0       0        0        0        0     0     45      1.4%     3.5     3.5     
Zach Abbott                 DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Ola Aina                    DEF   £4.5m    1      0       5       4       0        0        0        0     0     45      2.6%     1.8     1.8     
Tyler Bindon                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Murillo Costa dos Santos    DEF   £5.5m    1      0       6       6       0        0        0        0     0     45      1.6%     3.5     3.5     
Ousmane Diomande            DEF   £5.4m    1      0       4       5       0.06     0        0.06     0     0     45      0.5%     0.5     1       
Nikola Milenković           DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       1.6%     3       4       
Daniel Muñoz Mejía          DEF   £5.4m    1      0       7       5       0        0.02     0.02     0     0     45      5.6%     0.5     0.7     
Luca Netz                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0.5     1       
Jair Paula da Cunha Filho   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     2.5     3.3     
Omar Richards               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Felipe Rodrigues da Silva   DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Nicolò Savona               DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Neco Williams               DEF   £5.0m    1      0       5       1       0.05     0        0.05     0     0     45      8.2%     4       4       
Dilane Bakwa                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Nicolás Domínguez           MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0.2     1       
Morgan Gibbs-White          MID   £7.9m    1      0       7       2       0.05     0.05     0.1      0     0     45      9.5%     4.8     4.8     
Callum Hudson-Odoi          MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.2%     0.2     1       
Omari Hutchinson            MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
James McAtee                MID   £5.5m    2      1       12      6       0.01     0.09     0.1      0     0     45      0.1%     2.2     2.2     
Dan Ndoye                   MID   £5.5m    0      0       0       2       0.09     0        0.09     0     0     45      0.7%     3.5     3.5     
Ibrahim Sangaré             MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.5%     0.5     2       
Xaver Schlager              MID   £5.0m    1      0       3       5       0        0        0        0     0     45      0.1%     2.2     2.2     
Ryan Yates                  MID   £4.5m    0      0       0       0       0        0        0        0     0     0       1.4%     0       0       
Liam Delap                  FWD   £5.5m    1      0       4       2       0        0        0        0     0     45      0.9%     1       1.3     
Arnaud Kalimuendo           FWD   £5.4m    0      0       0       0       0        0        0        0     0     0       0.1%     0.2     1       
Igor Jesus Maciel da Cruz   FWD   £5.9m    0      0       0       0       0        0        0        0     0     0       2.4%     1       1.3     
Chris Wood                  FWD   £5.9m    0      0       0       0       0        0        0        0     0     0       1.0%     0.5     1       
